Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
20.953,auto,Tick,171,123,48,-48,147600,147900,2860,9340,-260,OK
21.266,auto,Tick,171,123,48,-48,147600,147900,2860,9340,-260,OK
21.516,auto,Tick,171,123,48,-48,147600,147900,2860,9340,-260,OK
21.782,auto,Tick,171,123,48,-48,147600,147900,2860,9340,-260,OK
22.047,auto,Tick,171,123,48,-48,147600,148000,2860,9340,-260,OK
22.235,auto,Tick,171,123,48,-48,147600,148000,2860,9340,-260,OK
22.516,auto,Tick,171,123,48,-48,147600,148100,2860,9340,-260,OK
22.75,auto,Tick,171,123,48,-48,147600,148100,2860,9340,-260,OK
22.985,auto,Tick,171,123,48,-48,147600,148000,2860,9340,-260,OK
23.25,auto,Tick,171,123,48,-48,147600,148000,2860,9340,-260,OK
23.547,auto,Tick,171,133,38,-38,147400,147700,3155,6045,-1555,OK
23.766,auto,Tick,171,133,38,-38,147400,147700,3155,6045,-1555,OK
24.063,auto,Tick,171,133,38,-38,147400,147700,3155,6045,-1555,OK
24.282,auto,Tick,181,133,48,-48,147400,147700,3450,8750,-850,OK
24.485,auto,Tick,191,133,58,-58,147400,147700,3745,11455,-145,OK
24.797,auto,Tick,191,133,58,-58,147400,148100,3745,11455,-145,OK
25.0,auto,Tick,191,133,58,-58,147400,148100,3745,11455,-145,OK
25.297,auto,Tick,201,133,68,-68,147700,148200,4040,16160,2560,OK
25.485,auto,Tick,201,143,58,-58,147600,147900,4335,9865,-1735,OK
25.703,auto,Tick,201,150,51,-51,147600,147900,4232,6468,-3732,OK
26.016,auto,Tick,201,150,51,-51,147600,147900,4232,6468,-3732,OK
26.219,auto,Tick,201,150,51,-51,147600,147900,4232,6468,-3732,OK
26.469,auto,Tick,201,150,51,-51,147400,147900,4232,6468,-3732,OK
26.703,auto,Tick,201,150,51,-51,147400,147900,4232,6468,-3732,OK
26.969,auto,Tick,201,150,51,-51,147400,147900,4232,6468,-3732,OK
27.203,auto,Tick,211,150,61,-61,147400,147900,4085,11615,-585,OK
27.516,auto,Tick,211,150,61,-61,147400,147900,4085,11615,-585,OK
27.75,auto,Tick,211,150,61,-61,147400,147900,4085,11615,-585,OK
28.0,auto,Tick,221,160,61,-61,147200,147800,4233,9467,-2733,OK
28.203,auto,Tick,221,170,51,-51,147200,147800,4527,3173,-7027,OK
28.469,auto,Tick,221,180,41,-41,147700,147800,4380,-1680,-5780,OK
28.735,auto,Tick,221,180,41,-41,147700,147600,4380,-1680,2420,OK
28.985,auto,Tick,221,180,41,-41,147700,147600,4380,-1680,2420,OK
29.235,auto,Tick,221,180,41,-41,147700,147600,4380,-1680,2420,OK
29.547,auto,Tick,221,180,41,-41,147700,147600,4380,-1680,2420,OK
29.813,auto,Tick,221,190,31,-31,147100,147600,4674,-4974,-11174,OK
30.016,auto,Tick,221,200,21,-21,147700,147600,4527,-7827,-5727,OK
30.297,auto,Tick,231,200,31,-31,147000,147600,4821,-6121,-12321,OK
30.547,auto,Tick,231,200,31,-31,147000,147600,4821,-6121,-12321,OK
30.703,auto,Tick,231,200,31,-31,147000,147400,4821,-6121,-12321,OK
31.047,auto,Tick,241,200,41,-41,147000,147400,5115,-3415,-11615,OK
31.203,auto,Tick,251,200,51,-51,147000,147400,5409,291,-9909,OK
31.532,auto,Tick,261,200,61,-61,147000,147400,5703,4997,-7203,OK
31.797,auto,Tick,261,200,61,-61,147000,147400,5703,4997,-7203,OK
32.047,auto,Tick,261,210,51,-51,147100,147400,5556,-1856,-12056,OK
32.203,auto,Tick,261,210,51,-51,147100,147400,5556,-1856,-12056,OK
32.485,auto,Tick,261,210,51,-51,147100,147400,5556,-1856,-12056,OK
32.735,auto,Tick,261,210,51,-51,147100,147600,5556,-1856,-12056,OK
33.016,auto,Tick,261,210,51,-51,147100,147600,5556,-1856,-12056,OK
33.266,auto,Tick,261,220,41,-41,146900,147600,5850,-7150,-15350,OK
33.547,auto,Tick,261,220,41,-41,146900,147600,5850,-7150,-15350,OK
33.782,auto,Tick,261,230,31,-31,146900,147600,6144,-11444,-17644,OK
33.953,auto,Tick,261,230,31,-31,146900,147600,6144,-11444,-17644,OK
34.266,auto,Tick,261,230,31,-31,146900,147200,6144,-11444,-17644,OK
34.5,auto,Tick,261,230,31,-31,146900,147200,6144,-11444,-17644,OK
34.75,auto,Tick,261,230,31,-31,146900,147200,6144,-11444,-17644,OK
35.063,auto,Tick,261,230,31,-31,146900,147200,6144,-11444,-17644,OK
35.203,auto,Tick,261,230,31,-31,146900,147300,6144,-11444,-17644,OK
35.532,auto,Tick,261,240,21,-21,147100,147000,5997,-16297,-14197,OK
35.766,auto,Tick,261,250,11,-11,147200,147000,6291,-17591,-15391,OK
36.0,auto,Tick,261,250,11,-11,147200,147000,6291,-17591,-15391,OK
36.203,auto,Tick,261,250,11,-11,147200,147000,6291,-17591,-15391,OK
36.547,auto,Tick,261,257,4,-4,147200,147000,6497,-18497,-17697,OK
36.735,auto,Tick,261,257,4,-4,147200,147000,6497,-18497,-17697,OK
37.047,auto,Tick,261,257,4,-4,147200,147000,6497,-18497,-17697,OK
37.266,auto,Tick,261,257,4,-4,147200,147000,6497,-18497,-17697,OK
37.516,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
37.766,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
38.047,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
38.266,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
38.485,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
38.782,auto,Tick,261,257,4,-4,147200,147300,6497,-18497,-18897,OK
38.985,auto,Tick,271,257,14,-14,147500,147300,6792,-18792,-15992,OK
39.25,auto,Tick,281,257,24,-24,147000,147300,6645,-17645,-22445,OK
39.547,auto,Tick,281,267,14,-14,147700,147300,6497,-18497,-15697,OK
39.75,auto,Tick,281,267,14,-14,147700,147300,6497,-18497,-15697,OK
40.032,auto,Tick,281,267,14,-14,147700,147300,6497,-18497,-15697,OK
40.25,auto,Tick,281,267,14,-14,147700,147300,6497,-18497,-15697,OK
40.485,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
40.797,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
41.047,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
41.203,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
41.469,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
41.766,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
42.032,auto,Tick,281,277,4,-4,147700,147300,6350,-19350,-18550,OK
42.297,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
42.532,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
42.75,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
43.016,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
43.25,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
43.5,auto,Tick,281,285,-4,4,147500,147200,6232,-18432,-19232,OK
43.797,auto,Tick,281,285,-4,4,147500,147400,6232,-18432,-18832,OK
44.0,auto,Tick,281,285,-4,4,147500,147400,6232,-18432,-18832,OK
44.25,auto,Tick,281,285,-4,4,147500,147400,6232,-18432,-18832,OK
44.563,auto,Tick,281,285,-4,4,147500,147400,6232,-18432,-18832,OK
44.75,auto,Tick,281,285,-4,4,147500,147400,6232,-18432,-18832,OK
45.016,auto,Tick,281,285,-4,4,147700,147400,6232,-18432,-19232,OK
45.25,auto,Tick,281,285,-4,4,147700,147500,6232,-18432,-19232,OK
45.516,auto,Tick,281,285,-4,4,147700,147500,6232,-18432,-19232,OK
45.735,auto,Tick,281,295,-14,14,147400,147500,6527,-18727,-17327,OK
45.985,auto,Tick,281,295,-14,14,147400,147500,6527,-18727,-17327,OK
46.203,auto,Tick,281,295,-14,14,147400,147500,6527,-18727,-17327,OK
46.547,auto,Tick,281,295,-14,14,147400,147500,6527,-18727,-17327,OK
46.782,auto,Tick,281,295,-14,14,147400,147500,6527,-18727,-17327,OK
46.985,auto,Tick,281,303,-22,22,147400,147500,6763,-17363,-15163,OK
47.297,auto,Tick,281,303,-22,22,147400,147500,6763,-17363,-15163,OK
47.5,auto,Tick,281,303,-22,22,147400,147500,6763,-17363,-15163,OK
47.797,auto,Tick,281,303,-22,22,147700,147500,6763,-17363,-21763,OK
48.016,auto,Tick,281,303,-22,22,147700,147500,6763,-17363,-21763,OK
48.25,auto,Tick,281,303,-22,22,147700,147500,6763,-17363,-21763,OK
48.485,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
48.797,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
48.969,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
49.219,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
49.547,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
49.735,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
50.0,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
50.297,auto,Tick,291,303,-12,12,147100,147500,6616,-21216,-18816,OK
50.469,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
50.703,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
51.016,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
51.266,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
51.516,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
51.797,auto,Tick,291,303,-12,12,147700,147500,6616,-21216,-23616,OK
52.0,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
52.25,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
52.547,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
52.719,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
53.047,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
53.25,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
53.547,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
53.719,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
53.953,auto,Tick,291,303,-12,12,147700,147300,6616,-21216,-23616,OK
54.266,auto,Tick,291,309,-18,18,147800,147300,6527,-19927,-23527,OK
54.469,auto,Tick,291,309,-18,18,147800,147200,6527,-19927,-23527,OK
54.766,auto,Tick,291,309,-18,18,147800,147200,6527,-19927,-23527,OK
54.953,auto,Tick,291,309,-18,18,147800,147200,6527,-19927,-23527,OK
55.282,auto,Tick,291,309,-18,18,147300,147300,6527,-19927,-19927,OK
55.469,auto,Tick,291,309,-18,18,147300,146900,6527,-19927,-23527,OK
55.797,auto,Tick,292,309,-17,17,147200,146900,6512,-20112,-23512,OK
56.047,auto,Tick,292,309,-17,17,147200,147100,6512,-20112,-21812,OK
56.203,auto,Tick,292,309,-17,17,147200,147100,6512,-20112,-21812,OK
56.532,auto,Tick,292,309,-17,17,147200,147100,6512,-20112,-21812,OK
56.735,auto,Tick,292,309,-17,17,147200,147100,6512,-20112,-21812,OK
57.047,auto,Tick,292,309,-17,17,147200,147100,6512,-20112,-21812,OK
57.266,auto,Tick,292,319,-27,27,147100,147100,6806,-18406,-18406,OK
57.5,auto,Tick,292,319,-27,27,147100,146800,6806,-18406,-23806,OK
57.75,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
58.0,auto,Tick,292,329,-37,37,147000,146600,7100,-15000,-22400,OK
58.297,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
58.5,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
58.75,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
58.969,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
59.25,auto,Tick,292,329,-37,37,147000,146700,7100,-15000,-22400,OK
59.516,auto,Tick,292,339,-47,47,147000,146500,7394,-11294,-20694,OK
59.75,auto,Tick,292,339,-47,47,147000,146500,7394,-11294,-20694,OK
60.063,auto,Tick,292,339,-47,47,147000,146500,7394,-11294,-20694,OK
60.313,auto,Tick,292,339,-47,47,147000,146700,7394,-11294,-20694,OK
60.5,auto,Tick,302,339,-37,37,147200,146700,7688,-16588,-23988,OK
60.703,auto,Tick,302,339,-37,37,147200,146600,7688,-16588,-23988,OK
60.953,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
61.297,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
61.469,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
61.703,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
62.0,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
62.219,auto,Tick,302,343,-41,41,147000,146500,7806,-15106,-23306,OK
62.5,auto,Tick,302,353,-51,51,146800,146300,8100,-8400,-18600,OK
62.75,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
63.016,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
63.25,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
63.547,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
63.703,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
63.969,auto,Tick,312,353,-41,41,146800,146300,8394,-14694,-22894,OK
64.297,auto,Tick,322,353,-31,31,146700,146300,8688,-17988,-24188,OK
64.516,auto,Tick,322,353,-31,31,146700,146300,8688,-17988,-24188,OK
64.719,auto,Tick,322,353,-31,31,146700,146300,8688,-17988,-24188,OK
65.016,auto,Tick,322,353,-31,31,146700,146300,8688,-17988,-24188,OK
65.313,auto,Tick,322,353,-31,31,146700,146900,8688,-17988,-11788,OK
65.469,auto,Tick,322,353,-31,31,146700,146900,8688,-17988,-11788,OK
65.75,auto,Tick,322,353,-31,31,146700,146900,8688,-17988,-11788,OK
65.953,auto,Tick,332,353,-21,21,146600,146900,8541,-21841,-17641,OK
66.203,auto,Tick,332,353,-21,21,146600,146900,8541,-21841,-17641,OK
66.547,auto,Tick,332,363,-31,31,147300,146900,8394,-17694,-23894,OK
66.703,auto,Tick,332,363,-31,31,147300,146900,8394,-17694,-23894,OK
66.953,auto,Tick,342,363,-21,21,146500,146900,8247,-21547,-17347,OK
67.297,auto,Tick,342,363,-21,21,146500,146900,8247,-21547,-17347,OK
67.547,auto,Tick,352,363,-11,11,146900,146900,8100,-23400,-23400,OK
67.766,auto,Tick,362,363,-1,1,146900,146900,8394,-25694,-25694,OK
67.969,auto,Tick,362,363,-1,1,146900,146900,8394,-25694,-25694,OK
68.297,auto,Tick,362,373,-11,11,146900,146900,8247,-25547,-25547,OK
68.516,auto,Tick,372,383,-11,11,146500,146900,8394,-24694,-22494,OK
68.75,auto,Tick,372,383,-11,11,146500,147200,8394,-24694,-22494,OK
69.0,auto,Tick,372,383,-11,11,146500,147200,8394,-24694,-22494,OK
69.203,auto,Tick,372,393,-21,21,147500,147200,8247,-22547,-26747,OK
69.485,auto,Tick,372,393,-21,21,147500,147200,8247,-22547,-26747,OK
69.828,auto,Tick,372,393,-21,21,147500,147300,8247,-22547,-26747,OK
69.969,auto,Tick,372,393,-21,21,147500,147300,8247,-22547,-26747,OK
70.219,auto,Tick,372,393,-21,21,147500,147300,8247,-22547,-26747,OK
70.516,auto,Tick,372,393,-21,21,147500,147300,8247,-22547,-26747,OK
70.75,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
70.953,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
71.297,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
71.453,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
71.719,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
72.047,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
72.297,auto,Tick,382,393,-11,11,146500,147300,8100,-25400,-23200,OK
72.516,auto,Tick,382,393,-11,11,147500,147300,8100,-25400,-27600,OK
72.797,auto,Tick,382,393,-11,11,147500,147300,8100,-25400,-27600,OK
73.032,auto,Tick,382,393,-11,11,147600,147300,8100,-25400,-27600,OK
73.25,auto,Tick,382,393,-11,11,147600,147300,8100,-25400,-27600,OK
73.5,auto,Tick,382,393,-11,11,147600,147200,8100,-25400,-27600,OK
73.797,auto,Tick,382,393,-11,11,147600,147200,8100,-25400,-27600,OK
73.969,auto,Tick,392,393,-1,1,147600,147200,8395,-28695,-28895,OK
74.266,auto,Tick,392,393,-1,1,147600,147200,8395,-28695,-28895,OK
74.5,auto,Tick,392,403,-11,11,147500,147200,8690,-27990,-30190,OK
74.813,auto,Tick,392,403,-11,11,147500,147200,8690,-27990,-30190,OK
74.985,auto,Tick,392,403,-11,11,147500,147200,8690,-27990,-30190,OK
75.297,auto,Tick,392,403,-11,11,147500,147400,8690,-27990,-29090,OK
75.547,auto,Tick,392,403,-11,11,147500,147400,8690,-27990,-29090,OK
75.75,auto,Tick,392,403,-11,11,147500,147400,8690,-27990,-29090,OK
75.969,auto,Tick,392,403,-11,11,147500,147400,8690,-27990,-29090,OK
76.235,auto,Tick,392,403,-11,11,147500,147400,8690,-27990,-29090,OK
76.453,auto,Tick,392,403,-11,11,147500,147500,8690,-27990,-27990,OK
76.766,auto,Tick,402,403,-1,1,147600,147600,8985,-29285,-29285,OK
77.0,auto,Tick,402,403,-1,1,147600,147600,8985,-29285,-29285,OK
77.25,auto,Tick,402,413,-11,11,147500,147600,9280,-28580,-27480,OK
77.547,auto,Tick,402,413,-11,11,147500,147600,9280,-28580,-27480,OK
77.75,auto,Tick,412,413,-1,1,147400,147600,9133,-30433,-30233,OK
78.016,auto,Tick,412,413,-1,1,147400,147600,9133,-30433,-30233,OK
78.266,auto,Tick,412,413,-1,1,147400,147600,9133,-30433,-30233,OK
78.5,auto,Tick,422,413,9,-9,147400,147600,9428,-31728,-33528,OK
78.75,auto,Tick,422,413,9,-9,147400,147600,9428,-31728,-33528,OK
78.953,auto,Tick,422,413,9,-9,147400,147600,9428,-31728,-33528,OK
79.266,auto,Tick,432,413,19,-19,147600,147600,9723,-31823,-31823,OK
79.547,auto,Tick,432,413,19,-19,147600,147600,9723,-31823,-31823,OK
79.719,auto,Tick,442,413,29,-29,147600,148200,10018,-29118,-34918,OK
80.0,auto,Tick,452,413,39,-39,147900,148400,10314,-24414,-32214,OK
80.25,auto,Tick,462,413,49,-49,147900,148400,10610,-21710,-31510,OK
80.469,auto,Tick,472,413,59,-59,147900,148400,10906,-18006,-29806,OK
80.766,auto,Tick,472,413,59,-59,147900,148400,10906,-18006,-29806,OK
81.063,auto,Tick,472,413,59,-59,147900,148400,10906,-18006,-29806,OK
81.297,auto,Tick,472,413,59,-59,147900,148200,10906,-18006,-29806,OK
81.5,auto,Tick,472,413,59,-59,147900,148400,10906,-18006,-29806,OK
81.75,auto,Tick,472,423,49,-49,148000,148400,10758,-26858,-36658,OK
82.0,auto,Tick,482,423,59,-59,148000,148400,11054,-23154,-34954,OK
82.235,auto,Tick,482,423,59,-59,148000,148400,11054,-23154,-34954,OK
82.516,auto,Tick,492,433,59,-59,148200,148800,11202,-24302,-36102,OK
82.797,auto,Tick,492,433,59,-59,148200,148800,11202,-24302,-36102,OK
83.047,auto,Tick,492,433,59,-59,148200,148800,11202,-24302,-36102,OK
83.297,auto,Tick,492,433,59,-59,148300,148800,11202,-24302,-36102,OK
83.5,auto,Tick,492,433,59,-59,148300,148800,11202,-24302,-36102,OK
83.797,auto,Tick,492,433,59,-59,148300,148800,11202,-24302,-36102,OK
84.032,auto,Tick,492,433,59,-59,148400,149000,11202,-24302,-36102,OK
84.266,auto,Tick,492,433,59,-59,148400,149000,11202,-24302,-36102,OK
84.547,auto,Tick,492,433,59,-59,148400,149000,11202,-24302,-36102,OK
84.75,auto,Tick,492,433,59,-59,148400,149200,11202,-24302,-36102,OK
84.953,auto,Tick,502,433,69,-69,148600,149200,11499,-18599,-32399,OK
85.282,auto,Tick,502,443,59,-59,148600,149200,11796,-24896,-36696,OK
85.453,auto,Tick,502,443,59,-59,148600,149200,11796,-24896,-36696,OK
85.797,auto,Tick,502,453,49,-49,148800,149200,11647,-29747,-39547,OK
86.032,auto,Tick,512,463,49,-49,149000,149600,11796,-31896,-41696,OK
86.25,auto,Tick,512,463,49,-49,149000,149600,11796,-31896,-41696,OK
86.547,auto,Tick,512,463,49,-49,149000,149600,11796,-31896,-41696,OK
86.797,auto,Tick,512,473,39,-39,149600,149600,11647,-36747,-36747,OK
86.985,auto,Tick,512,473,39,-39,149600,149600,11647,-36747,-36747,OK
87.297,auto,Tick,512,473,39,-39,149600,149700,11647,-36747,-40647,OK
87.547,auto,Tick,512,473,39,-39,149600,149700,11647,-36747,-40647,OK
